description,industry,level,size,line_code,value
Activities the business uses Internet for: gathering information or research,Auxiliary,2,total,B0510,321
Activities the business uses Internet for: gathering information or research,"Rental, hiring, & real estate services",1,total,B0510,741
Activities the business uses Internet for: gathering information or research,"Professional, scientific, & technical services",1,total,B0510,4086
Activities the business uses Internet for: gathering information or research,Computer systems design,2,total,B0510,840
Activities the business uses Internet for: gathering information or research,Other professional scientific,2,total,B0510,3246
Activities the business uses Internet for: gathering information or research,Administrative & support services,1,total,B0510,1137
Activities the business uses Internet for: gathering information or research,Education & training,1,total,B0510,792
Activities the business uses Internet for: gathering information or research,Health care & social assistance,1,total,B0510,1818
Activities the business uses Internet for: gathering information or research,Arts & recreation services,1,total,B0510,306
Activities the business uses Internet for: gathering information or research,Other services,1,total,B0510,789
Activities the business uses Internet for: gathering information or research,total,0,total,B0510,28002
Activities the business uses Internet for: other activities,total,0,6–19 employees,B0511,1956
Activities the business uses Internet for: other activities,total,0,20–49 employees,B0511,384
Activities the business uses Internet for: other activities,total,0,50–99 employees,B0511,87
Activities the business uses Internet for: other activities,total,0,100+ employees,B0511,87
Activities the business uses Internet for: other activities,"Agriculture, forestry, & fishing",1,total,B0511,249
Activities the business uses Internet for: other activities,Agriculture,2,total,B0511,162
Activities the business uses Internet for: other activities,Commercial fishing,2,total,B0511,0
Activities the business uses Internet for: other activities,Forestry & logging,2,total,B0511,15
Activities the business uses Internet for: other activities,"Agriculture, forestry, & fishing support services",2,total,B0511,69
Activities the business uses Internet for: other activities,Mining,1,total,B0511,6
Activities the business uses Internet for: other activities,Manufacturing,1,total,B0511,222
Activities the business uses Internet for: other activities,"Food, beverage, & tobacco",2,total,B0511,69
Activities the business uses Internet for: other activities,"Textile, clothing, footwear, & leather",2,total,B0511,0
Activities the business uses Internet for: other activities,Wood & paper product,2,total,B0511,33
Activities the business uses Internet for: other activities,"Printing, publishing, & recorded media",2,total,B0511,6
Activities the business uses Internet for: other activities,"Petroleum, coal, chemical, & associated product",2,total,B0511,24
Activities the business uses Internet for: other activities,Non-metallic mineral product,2,total,B0511,3
Activities the business uses Internet for: other activities,Metal product,2,total,B0511,45
Activities the business uses Internet for: other activities,Transport and industrial machinery & equipment,2,total,B0511,24
Activities the business uses Internet for: other activities,Other machinery & equipment,2,total,B0511,9
Activities the business uses Internet for: other activities,Other manufacturing,2,total,B0511,9
Activities the business uses Internet for: other activities,"Electricity, gas, water, & waste services",1,total,B0511,12
Activities the business uses Internet for: other activities,Construction,1,total,B0511,240
Activities the business uses Internet for: other activities,Wholesale trade,1,total,B0511,183
Activities the business uses Internet for: other activities,Machinery & equipment wholesaling,2,total,B0511,45
Activities the business uses Internet for: other activities,Other wholesale trade,2,total,B0511,135
Activities the business uses Internet for: other activities,Retail trade,1,total,B0511,141
Activities the business uses Internet for: other activities,Accommodation & food services,1,total,B0511,519
Activities the business uses Internet for: other activities,"Transport, postal, & warehousing",1,total,B0511,87
Activities the business uses Internet for: other activities,Information media & telecommunications,1,total,B0511,27
Activities the business uses Internet for: other activities,Publishing,2,total,B0511,6
Activities the business uses Internet for: other activities,Motion picture,2,total,B0511,6
Activities the business uses Internet for: other activities,Telecommunications,2,total,B0511,12
Activities the business uses Internet for: other activities,Financial & insurance services,1,total,B0511,18
Activities the business uses Internet for: other activities,Finance,2,total,B0511,6
Activities the business uses Internet for: other activities,Insurance,2,total,B0511,3
Activities the business uses Internet for: other activities,Auxiliary,2,total,B0511,12
Activities the business uses Internet for: other activities,"Rental, hiring, & real estate services",1,total,B0511,27
Activities the business uses Internet for: other activities,"Professional, scientific, & technical services",1,total,B0511,297
Activities the business uses Internet for: other activities,Computer systems design,2,total,B0511,54
Activities the business uses Internet for: other activities,Other professional scientific,2,total,B0511,243
Activities the business uses Internet for: other activities,Administrative & support services,1,total,B0511,72
Activities the business uses Internet for: other activities,Education & training,1,total,B0511,51
Activities the business uses Internet for: other activities,Health care & social assistance,1,total,B0511,285
Activities the business uses Internet for: other activities,Arts & recreation services,1,total,B0511,21
Activities the business uses Internet for: other activities,Other services,1,total,B0511,51
Activities the business uses Internet for: other activities,total,0,total,B0511,2517
Did business receive orders for goods or services over the internet: yes,total,0,6–19 employees,B0600.01,17301
Did business receive orders for goods or services over the internet: yes,total,0,20–49 employees,B0600.01,4548
Did business receive orders for goods or services over the internet: yes,total,0,50–99 employees,B0600.01,1275
Did business receive orders for goods or services over the internet: yes,total,0,100+ employees,B0600.01,1077
Did business receive orders for goods or services over the internet: yes,"Agriculture, forestry, & fishing",1,total,B0600.01,807
Did business receive orders for goods or services over the internet: yes,Agriculture,2,total,B0600.01,552
Did business receive orders for goods or services over the internet: yes,Commercial fishing,2,total,B0600.01,9
Did business receive orders for goods or services over the internet: yes,Forestry & logging,2,total,B0600.01,24
Did business receive orders for goods or services over the internet: yes,"Agriculture, forestry, & fishing support services",2,total,B0600.01,225
Did business receive orders for goods or services over the internet: yes,Mining,1,total,B0600.01,30
Did business receive orders for goods or services over the internet: yes,Manufacturing,1,total,B0600.01,3210
Did business receive orders for goods or services over the internet: yes,"Food, beverage, & tobacco",2,total,B0600.01,840
Did business receive orders for goods or services over the internet: yes,"Textile, clothing, footwear, & leather",2,total,B0600.01,183
Did business receive orders for goods or services over the internet: yes,Wood & paper product,2,total,B0600.01,291
Did business receive orders for goods or services over the internet: yes,"Printing, publishing, & recorded media",2,total,B0600.01,159
Did business receive orders for goods or services over the internet: yes,"Petroleum, coal, chemical, & associated product",2,total,B0600.01,303
Did business receive orders for goods or services over the internet: yes,Non-metallic mineral product,2,total,B0600.01,111
Did business receive orders for goods or services over the internet: yes,Metal product,2,total,B0600.01,543
Did business receive orders for goods or services over the internet: yes,Transport and industrial machinery & equipment,2,total,B0600.01,402
Did business receive orders for goods or services over the internet: yes,Other machinery & equipment,2,total,B0600.01,126
Did business receive orders for goods or services over the internet: yes,Other manufacturing,2,total,B0600.01,252
Did business receive orders for goods or services over the internet: yes,"Electricity, gas, water, & waste services",1,total,B0600.01,102
Did business receive orders for goods or services over the internet: yes,Construction,1,total,B0600.01,2646
Did business receive orders for goods or services over the internet: yes,Wholesale trade,1,total,B0600.01,2196
Did business receive orders for goods or services over the internet: yes,Machinery & equipment wholesaling,2,total,B0600.01,570
Did business receive orders for goods or services over the internet: yes,Other wholesale trade,2,total,B0600.01,1623
Did business receive orders for goods or services over the internet: yes,Retail trade,1,total,B0600.01,3726
Did business receive orders for goods or services over the internet: yes,Accommodation & food services,1,total,B0600.01,3933
Did business receive orders for goods or services over the internet: yes,"Transport, postal, & warehousing",1,total,B0600.01,696
Did business receive orders for goods or services over the internet: yes,Information media & telecommunications,1,total,B0600.01,291
Did business receive orders for goods or services over the internet: yes,Publishing,2,total,B0600.01,126
Did business receive orders for goods or services over the internet: yes,Motion picture,2,total,B0600.01,87
Did business receive orders for goods or services over the internet: yes,Telecommunications,2,total,B0600.01,75
Did business receive orders for goods or services over the internet: yes,Financial & insurance services,1,total,B0600.01,330
Did business receive orders for goods or services over the internet: yes,Finance,2,total,B0600.01,90
Did business receive orders for goods or services over the internet: yes,Insurance,2,total,B0600.01,24
Did business receive orders for goods or services over the internet: yes,Auxiliary,2,total,B0600.01,216
Did business receive orders for goods or services over the internet: yes,"Rental, hiring, & real estate services",1,total,B0600.01,615
Did business receive orders for goods or services over the internet: yes,"Professional, scientific, & technical services",1,total,B0600.01,2265
Did business receive orders for goods or services over the internet: yes,Computer systems design,2,total,B0600.01,468
Did business receive orders for goods or services over the internet: yes,Other professional scientific,2,total,B0600.01,1800
Did business receive orders for goods or services over the internet: yes,Administrative & support services,1,total,B0600.01,852
Did business receive orders for goods or services over the internet: yes,Education & training,1,total,B0600.01,549
Did business receive orders for goods or services over the internet: yes,Health care & social assistance,1,total,B0600.01,1050
Did business receive orders for goods or services over the internet: yes,Arts & recreation services,1,total,B0600.01,309
Did business receive orders for goods or services over the internet: yes,Other services,1,total,B0600.01,579
Did business receive orders for goods or services over the internet: yes,total,0,total,B0600.01,24201
Did business receive orders for goods or services over the internet: no,total,0,6–19 employees,B0600.02,14535
Did business receive orders for goods or services over the internet: no,total,0,20–49 employees,B0600.02,3303
Did business receive orders for goods or services over the internet: no,total,0,50–99 employees,B0600.02,1062
Did business receive orders for goods or services over the internet: no,total,0,100+ employees,B0600.02,738
Did business receive orders for goods or services over the internet: no,"Agriculture, forestry, & fishing",1,total,B0600.02,2445
Did business receive orders for goods or services over the internet: no,Agriculture,2,total,B0600.02,1692
Did business receive orders for goods or services over the internet: no,Commercial fishing,2,total,B0600.02,30
Did business receive orders for goods or services over the internet: no,Forestry & logging,2,total,B0600.02,204
Did business receive orders for goods or services over the internet: no,"Agriculture, forestry, & fishing support services",2,total,B0600.02,516
Did business receive orders for goods or services over the internet: no,Mining,1,total,B0600.02,75
Did business receive orders for goods or services over the internet: no,Manufacturing,1,total,B0600.02,1929
Did business receive orders for goods or services over the internet: no,"Food, beverage, & tobacco",2,total,B0600.02,285
Did business receive orders for goods or services over the internet: no,"Textile, clothing, footwear, & leather",2,total,B0600.02,75
Did business receive orders for goods or services over the internet: no,Wood & paper product,2,total,B0600.02,210
Did business receive orders for goods or services over the internet: no,"Printing, publishing, & recorded media",2,total,B0600.02,48
Did business receive orders for goods or services over the internet: no,"Petroleum, coal, chemical, & associated product",2,total,B0600.02,135
Did business receive orders for goods or services over the internet: no,Non-metallic mineral product,2,total,B0600.02,84
Did business receive orders for goods or services over the internet: no,Metal product,2,total,B0600.02,372
Did business receive orders for goods or services over the internet: no,Transport and industrial machinery & equipment,2,total,B0600.02,480
Did business receive orders for goods or services over the internet: no,Other machinery & equipment,2,total,B0600.02,108
Did business receive orders for goods or services over the internet: no,Other manufacturing,2,total,B0600.02,129
Did business receive orders for goods or services over the internet: no,"Electricity, gas, water, & waste services",1,total,B0600.02,87
Did business receive orders for goods or services over the internet: no,Construction,1,total,B0600.02,3642
Did business receive orders for goods or services over the internet: no,Wholesale trade,1,total,B0600.02,825
Did business receive orders for goods or services over the internet: no,Machinery & equipment wholesaling,2,total,B0600.02,333
Did business receive orders for goods or services over the internet: no,Other wholesale trade,2,total,B0600.02,489
Did business receive orders for goods or services over the internet: no,Retail trade,1,total,B0600.02,945
Did business receive orders for goods or services over the internet: no,Accommodation & food services,1,total,B0600.02,1830
Did business receive orders for goods or services over the internet: no,"Transport, postal, & warehousing",1,total,B0600.02,777
Did business receive orders for goods or services over the internet: no,Information media & telecommunications,1,total,B0600.02,126
Did business receive orders for goods or services over the internet: no,Publishing,2,total,B0600.02,42
Did business receive orders for goods or services over the internet: no,Motion picture,2,total,B0600.02,45
Did business receive orders for goods or services over the internet: no,Telecommunications,2,total,B0600.02,39
Did business receive orders for goods or services over the internet: no,Financial & insurance services,1,total,B0600.02,291
Did business receive orders for goods or services over the internet: no,Finance,2,total,B0600.02,90
Did business receive orders for goods or services over the internet: no,Insurance,2,total,B0600.02,12
Did business receive orders for goods or services over the internet: no,Auxiliary,2,total,B0600.02,192
Did business receive orders for goods or services over the internet: no,"Rental, hiring, & real estate services",1,total,B0600.02,351
Did business receive orders for goods or services over the internet: no,"Professional, scientific, & technical services",1,total,B0600.02,2538
Did business receive orders for goods or services over the internet: no,Computer systems design,2,total,B0600.02,447
Did business receive orders for goods or services over the internet: no,Other professional scientific,2,total,B0600.02,2094
Did business receive orders for goods or services over the internet: no,Administrative & support services,1,total,B0600.02,759
Did business receive orders for goods or services over the internet: no,Education & training,1,total,B0600.02,522
Did business receive orders for goods or services over the internet: no,Health care & social assistance,1,total,B0600.02,1644
Did business receive orders for goods or services over the internet: no,Arts & recreation services,1,total,B0600.02,183
Did business receive orders for goods or services over the internet: no,Other services,1,total,B0600.02,669
Did business receive orders for goods or services over the internet: no,total,0,total,B0600.02,19644
Did business receive orders for goods or services over the internet: don't know,total,0,6–19 employees,B0600.03,1824
Did business receive orders for goods or services over the internet: don't know,total,0,20–49 employees,B0600.03,369
Did business receive orders for goods or services over the internet: don't know,total,0,50–99 employees,B0600.03,96
Did business receive orders for goods or services over the internet: don't know,total,0,100+ employees,B0600.03,102
Did business receive orders for goods or services over the internet: don't know,"Agriculture, forestry, & fishing",1,total,B0600.03,195
Did business receive orders for goods or services over the internet: don't know,Agriculture,2,total,B0600.03,111
Did business receive orders for goods or services over the internet: don't know,Commercial fishing,2,total,B0600.03,3
Did business receive orders for goods or services over the internet: don't know,Forestry & logging,2,total,B0600.03,9
Did business receive orders for goods or services over the internet: don't know,"Agriculture, forestry, & fishing support services",2,total,B0600.03,72
Did business receive orders for goods or services over the internet: don't know,Mining,1,total,B0600.03,3
Did business receive orders for goods or services over the internet: don't know,Manufacturing,1,total,B0600.03,270
Did business receive orders for goods or services over the internet: don't know,"Food, beverage, & tobacco",2,total,B0600.03,72
Did business receive orders for goods or services over the internet: don't know,"Textile, clothing, footwear, & leather",2,total,B0600.03,6
Did business receive orders for goods or services over the internet: don't know,Wood & paper product,2,total,B0600.03,42
Did business receive orders for goods or services over the internet: don't know,"Printing, publishing, & recorded media",2,total,B0600.03,3
Did business receive orders for goods or services over the internet: don't know,"Petroleum, coal, chemical, & associated product",2,total,B0600.03,15
Did business receive orders for goods or services over the internet: don't know,Non-metallic mineral product,2,total,B0600.03,12
Did business receive orders for goods or services over the internet: don't know,Metal product,2,total,B0600.03,36
Did business receive orders for goods or services over the internet: don't know,Transport and industrial machinery & equipment,2,total,B0600.03,75
Did business receive orders for goods or services over the internet: don't know,Other machinery & equipment,2,total,B0600.03,6
Did business receive orders for goods or services over the internet: don't know,Other manufacturing,2,total,B0600.03,3
Did business receive orders for goods or services over the internet: don't know,"Electricity, gas, water, & waste services",1,total,B0600.03,18
Did business receive orders for goods or services over the internet: don't know,Construction,1,total,B0600.03,483
Did business receive orders for goods or services over the internet: don't know,Wholesale trade,1,total,B0600.03,174
Did business receive orders for goods or services over the internet: don't know,Machinery & equipment wholesaling,2,total,B0600.03,51
Did business receive orders for goods or services over the internet: don't know,Other wholesale trade,2,total,B0600.03,120
Did business receive orders for goods or services over the internet: don't know,Retail trade,1,total,B0600.03,135
Did business receive orders for goods or services over the internet: don't know,Accommodation & food services,1,total,B0600.03,306
Did business receive orders for goods or services over the internet: don't know,"Transport, postal, & warehousing",1,total,B0600.03,90
Did business receive orders for goods or services over the internet: don't know,Information media & telecommunications,1,total,B0600.03,9
Did business receive orders for goods or services over the internet: don't know,Publishing,2,total,B0600.03,0
Did business receive orders for goods or services over the internet: don't know,Motion picture,2,total,B0600.03,3
Did business receive orders for goods or services over the internet: don't know,Telecommunications,2,total,B0600.03,6
Did business receive orders for goods or services over the internet: don't know,Financial & insurance services,1,total,B0600.03,21
Did business receive orders for goods or services over the internet: don't know,Finance,2,total,B0600.03,6
Did business receive orders for goods or services over the internet: don't know,Insurance,2,total,B0600.03,3
Did business receive orders for goods or services over the internet: don't know,Auxiliary,2,total,B0600.03,15
Did business receive orders for goods or services over the internet: don't know,"Rental, hiring, & real estate services",1,total,B0600.03,45
Did business receive orders for goods or services over the internet: don't know,"Professional, scientific, & technical services",1,total,B0600.03,234
Did business receive orders for goods or services over the internet: don't know,Computer systems design,2,total,B0600.03,45
Did business receive orders for goods or services over the internet: don't know,Other professional scientific,2,total,B0600.03,192
Did business receive orders for goods or services over the internet: don't know,Administrative & support services,1,total,B0600.03,69
Did business receive orders for goods or services over the internet: don't know,Education & training,1,total,B0600.03,60
Did business receive orders for goods or services over the internet: don't know,Health care & social assistance,1,total,B0600.03,150
Did business receive orders for goods or services over the internet: don't know,Arts & recreation services,1,total,B0600.03,24
Did business receive orders for goods or services over the internet: don't know,Other services,1,total,B0600.03,99
Did business receive orders for goods or services over the internet: don't know,total,0,total,B0600.03,2391
Percentage of total sales from internet sales: 1-10%,total,0,6–19 employees,B0700.01,6501
Percentage of total sales from internet sales: 1-10%,total,0,20–49 employees,B0700.01,1761
Percentage of total sales from internet sales: 1-10%,total,0,50–99 employees,B0700.01,510
Percentage of total sales from internet sales: 1-10%,total,0,100+ employees,B0700.01,474
Percentage of total sales from internet sales: 1-10%,"Agriculture, forestry, & fishing",1,total,B0700.01,336
Percentage of total sales from internet sales: 1-10%,Agriculture,2,total,B0700.01,228
Percentage of total sales from internet sales: 1-10%,Commercial fishing,2,total,B0700.01,6
Percentage of total sales from internet sales: 1-10%,Forestry & logging,2,total,B0700.01,3
Percentage of total sales from internet sales: 1-10%,"Agriculture, forestry, & fishing support services",2,total,B0700.01,99
Percentage of total sales from internet sales: 1-10%,Mining,1,total,B0700.01,15
Percentage of total sales from internet sales: 1-10%,Manufacturing,1,total,B0700.01,1038
Percentage of total sales from internet sales: 1-10%,"Food, beverage, & tobacco",2,total,B0700.01,345
Percentage of total sales from internet sales: 1-10%,"Textile, clothing, footwear, & leather",2,total,B0700.01,63
Percentage of total sales from internet sales: 1-10%,Wood & paper product,2,total,B0700.01,63
Percentage of total sales from internet sales: 1-10%,"Printing, publishing, & recorded media",2,total,B0700.01,36
Percentage of total sales from internet sales: 1-10%,"Petroleum, coal, chemical, & associated product",2,total,B0700.01,54
Percentage of total sales from internet sales: 1-10%,Non-metallic mineral product,2,total,B0700.01,42
Percentage of total sales from internet sales: 1-10%,Metal product,2,total,B0700.01,150
Percentage of total sales from internet sales: 1-10%,Transport and industrial machinery & equipment,2,total,B0700.01,156
Percentage of total sales from internet sales: 1-10%,Other machinery & equipment,2,total,B0700.01,39
Percentage of total sales from internet sales: 1-10%,Other manufacturing,2,total,B0700.01,93
Percentage of total sales from internet sales: 1-10%,"Electricity, gas, water, & waste services",1,total,B0700.01,27
Percentage of total sales from internet sales: 1-10%,Construction,1,total,B0700.01,897
Percentage of total sales from internet sales: 1-10%,Wholesale trade,1,total,B0700.01,750
Percentage of total sales from internet sales: 1-10%,Machinery & equipment wholesaling,2,total,B0700.01,198
Percentage of total sales from internet sales: 1-10%,Other wholesale trade,2,total,B0700.01,549
Percentage of total sales from internet sales: 1-10%,Retail trade,1,total,B0700.01,1926
Percentage of total sales from internet sales: 1-10%,Accommodation & food services,1,total,B0700.01,1704
Percentage of total sales from internet sales: 1-10%,"Transport, postal, & warehousing",1,total,B0700.01,177
Percentage of total sales from internet sales: 1-10%,Information media & telecommunications,1,total,B0700.01,51
Percentage of total sales from internet sales: 1-10%,Publishing,2,total,B0700.01,24
Percentage of total sales from internet sales: 1-10%,Motion picture,2,total,B0700.01,15
Percentage of total sales from internet sales: 1-10%,Telecommunications,2,total,B0700.01,9
Percentage of total sales from internet sales: 1-10%,Financial & insurance services,1,total,B0700.01,84
Percentage of total sales from internet sales: 1-10%,Finance,2,total,B0700.01,12
Percentage of total sales from internet sales: 1-10%,Insurance,2,total,B0700.01,9
Percentage of total sales from internet sales: 1-10%,Auxiliary,2,total,B0700.01,63
Percentage of total sales from internet sales: 1-10%,"Rental, hiring, & real estate services",1,total,B0700.01,210
Percentage of total sales from internet sales: 1-10%,"Professional, scientific, & technical services",1,total,B0700.01,858
Percentage of total sales from internet sales: 1-10%,Computer systems design,2,total,B0700.01,117
Percentage of total sales from internet sales: 1-10%,Other professional scientific,2,total,B0700.01,744
Percentage of total sales from internet sales: 1-10%,Administrative & support services,1,total,B0700.01,282
Percentage of total sales from internet sales: 1-10%,Education & training,1,total,B0700.01,108
Percentage of total sales from internet sales: 1-10%,Health care & social assistance,1,total,B0700.01,423
Percentage of total sales from internet sales: 1-10%,Arts & recreation services,1,total,B0700.01,120
Percentage of total sales from internet sales: 1-10%,Other services,1,total,B0700.01,234
Percentage of total sales from internet sales: 1-10%,total,0,total,B0700.01,9249
Percentage of total sales from internet sales: 11-25%,total,0,6–19 employees,B0700.02,2604
Percentage of total sales from internet sales: 11-25%,total,0,20–49 employees,B0700.02,651
Percentage of total sales from internet sales: 11-25%,total,0,50–99 employees,B0700.02,147
Percentage of total sales from internet sales: 11-25%,total,0,100+ employees,B0700.02,132
Percentage of total sales from internet sales: 11-25%,"Agriculture, forestry, & fishing",1,total,B0700.02,132
Percentage of total sales from internet sales: 11-25%,Agriculture,2,total,B0700.02,93
Percentage of total sales from internet sales: 11-25%,Commercial fishing,2,total,B0700.02,0
Percentage of total sales from internet sales: 11-25%,Forestry & logging,2,total,B0700.02,6
Percentage of total sales from internet sales: 11-25%,"Agriculture, forestry, & fishing support services",2,total,B0700.02,33
Percentage of total sales from internet sales: 11-25%,Mining,1,total,B0700.02,9
Percentage of total sales from internet sales: 11-25%,Manufacturing,1,total,B0700.02,417
Percentage of total sales from internet sales: 11-25%,"Food, beverage, & tobacco",2,total,B0700.02,132
Percentage of total sales from internet sales: 11-25%,"Textile, clothing, footwear, & leather",2,total,B0700.02,24
Percentage of total sales from internet sales: 11-25%,Wood & paper product,2,total,B0700.02,30
Percentage of total sales from internet sales: 11-25%,"Printing, publishing, & recorded media",2,total,B0700.02,18
Percentage of total sales from internet sales: 11-25%,"Petroleum, coal, chemical, & associated product",2,total,B0700.02,36
Percentage of total sales from internet sales: 11-25%,Non-metallic mineral product,2,total,B0700.02,21
Percentage of total sales from internet sales: 11-25%,Metal product,2,total,B0700.02,66
Percentage of total sales from internet sales: 11-25%,Transport and industrial machinery & equipment,2,total,B0700.02,39
Percentage of total sales from internet sales: 11-25%,Other machinery & equipment,2,total,B0700.02,9
Percentage of total sales from internet sales: 11-25%,Other manufacturing,2,total,B0700.02,39
Percentage of total sales from internet sales: 11-25%,"Electricity, gas, water, & waste services",1,total,B0700.02,18
Percentage of total sales from internet sales: 11-25%,Construction,1,total,B0700.02,273
Percentage of total sales from internet sales: 11-25%,Wholesale trade,1,total,B0700.02,462
Percentage of total sales from internet sales: 11-25%,Machinery & equipment wholesaling,2,total,B0700.02,123
Percentage of total sales from internet sales: 11-25%,Other wholesale trade,2,total,B0700.02,339
Percentage of total sales from internet sales: 11-25%,Retail trade,1,total,B0700.02,708
Percentage of total sales from internet sales: 11-25%,Accommodation & food services,1,total,B0700.02,600
Percentage of total sales from internet sales: 11-25%,"Transport, postal, & warehousing",1,total,B0700.02,63
Percentage of total sales from internet sales: 11-25%,Information media & telecommunications,1,total,B0700.02,39
Percentage of total sales from internet sales: 11-25%,Publishing,2,total,B0700.02,9
Percentage of total sales from internet sales: 11-25%,Motion picture,2,total,B0700.02,24
Percentage of total sales from internet sales: 11-25%,Telecommunications,2,total,B0700.02,6
Percentage of total sales from internet sales: 11-25%,Financial & insurance services,1,total,B0700.02,30
Percentage of total sales from internet sales: 11-25%,Finance,2,total,B0700.02,18
Percentage of total sales from internet sales: 11-25%,Insurance,2,total,B0700.02,0
Percentage of total sales from internet sales: 11-25%,Auxiliary,2,total,B0700.02,12
Percentage of total sales from internet sales: 11-25%,"Rental, hiring, & real estate services",1,total,B0700.02,60
Percentage of total sales from internet sales: 11-25%,"Professional, scientific, & technical services",1,total,B0700.02,252
Percentage of total sales from internet sales: 11-25%,Computer systems design,2,total,B0700.02,51
Percentage of total sales from internet sales: 11-25%,Other professional scientific,2,total,B0700.02,207
Percentage of total sales from internet sales: 11-25%,Administrative & support services,1,total,B0700.02,105
Percentage of total sales from internet sales: 11-25%,Education & training,1,total,B0700.02,93
Percentage of total sales from internet sales: 11-25%,Health care & social assistance,1,total,B0700.02,159
Percentage of total sales from internet sales: 11-25%,Arts & recreation services,1,total,B0700.02,48
Percentage of total sales from internet sales: 11-25%,Other services,1,total,B0700.02,66
Percentage of total sales from internet sales: 11-25%,total,0,total,B0700.02,3540
Percentage of total sales from internet sales: 26-50%,total,0,6–19 employees,B0700.03,2421
Percentage of total sales from internet sales: 26-50%,total,0,20–49 employees,B0700.03,579
Percentage of total sales from internet sales: 26-50%,total,0,50–99 employees,B0700.03,138
Percentage of total sales from internet sales: 26-50%,total,0,100+ employees,B0700.03,78
Percentage of total sales from internet sales: 26-50%,"Agriculture, forestry, & fishing",1,total,B0700.03,75
Percentage of total sales from internet sales: 26-50%,Agriculture,2,total,B0700.03,48
Percentage of total sales from internet sales: 26-50%,Commercial fishing,2,total,B0700.03,0
Percentage of total sales from internet sales: 26-50%,Forestry & logging,2,total,B0700.03,3
Percentage of total sales from internet sales: 26-50%,"Agriculture, forestry, & fishing support services",2,total,B0700.03,27
Percentage of total sales from internet sales: 26-50%,Mining,1,total,B0700.03,3
Percentage of total sales from internet sales: 26-50%,Manufacturing,1,total,B0700.03,384
Percentage of total sales from internet sales: 26-50%,"Food, beverage, & tobacco",2,total,B0700.03,78
Percentage of total sales from internet sales: 26-50%,"Textile, clothing, footwear, & leather",2,total,B0700.03,27
Percentage of total sales from internet sales: 26-50%,Wood & paper product,2,total,B0700.03,48
Percentage of total sales from internet sales: 26-50%,"Printing, publishing, & recorded media",2,total,B0700.03,15
Percentage of total sales from internet sales: 26-50%,"Petroleum, coal, chemical, & associated product",2,total,B0700.03,36
Percentage of total sales from internet sales: 26-50%,Non-metallic mineral product,2,total,B0700.03,9
Percentage of total sales from internet sales: 26-50%,Metal product,2,total,B0700.03,66
Percentage of total sales from internet sales: 26-50%,Transport and industrial machinery & equipment,2,total,B0700.03,45
Percentage of total sales from internet sales: 26-50%,Other machinery & equipment,2,total,B0700.03,24
Percentage of total sales from internet sales: 26-50%,Other manufacturing,2,total,B0700.03,39
Percentage of total sales from internet sales: 26-50%,"Electricity, gas, water, & waste services",1,total,B0700.03,21
Percentage of total sales from internet sales: 26-50%,Construction,1,total,B0700.03,282
Percentage of total sales from internet sales: 26-50%,Wholesale trade,1,total,B0700.03,228
Percentage of total sales from internet sales: 26-50%,Machinery & equipment wholesaling,2,total,B0700.03,36
Percentage of total sales from internet sales: 26-50%,Other wholesale trade,2,total,B0700.03,189
Percentage of total sales from internet sales: 26-50%,Retail trade,1,total,B0700.03,270
Percentage of total sales from internet sales: 26-50%,Accommodation & food services,1,total,B0700.03,909
Percentage of total sales from internet sales: 26-50%,"Transport, postal, & warehousing",1,total,B0700.03,162
Percentage of total sales from internet sales: 26-50%,Information media & telecommunications,1,total,B0700.03,45
Percentage of total sales from internet sales: 26-50%,Publishing,2,total,B0700.03,9
Percentage of total sales from internet sales: 26-50%,Motion picture,2,total,B0700.03,30
Percentage of total sales from internet sales: 26-50%,Telecommunications,2,total,B0700.03,3
Percentage of total sales from internet sales: 26-50%,Financial & insurance services,1,total,B0700.03,48
Percentage of total sales from internet sales: 26-50%,Finance,2,total,B0700.03,9
Percentage of total sales from internet sales: 26-50%,Insurance,2,total,B0700.03,6
Percentage of total sales from internet sales: 26-50%,Auxiliary,2,total,B0700.03,33
Percentage of total sales from internet sales: 26-50%,"Rental, hiring, & real estate services",1,total,B0700.03,57
Percentage of total sales from internet sales: 26-50%,"Professional, scientific, & technical services",1,total,B0700.03,189
Percentage of total sales from internet sales: 26-50%,Computer systems design,2,total,B0700.03,12
Percentage of total sales from internet sales: 26-50%,Other professional scientific,2,total,B0700.03,177
Percentage of total sales from internet sales: 26-50%,Administrative & support services,1,total,B0700.03,81
Percentage of total sales from internet sales: 26-50%,Education & training,1,total,B0700.03,147
Percentage of total sales from internet sales: 26-50%,Health care & social assistance,1,total,B0700.03,189
Percentage of total sales from internet sales: 26-50%,Arts & recreation services,1,total,B0700.03,51
Percentage of total sales from internet sales: 26-50%,Other services,1,total,B0700.03,72
Percentage of total sales from internet sales: 26-50%,total,0,total,B0700.03,3216
Percentage of total sales from internet sales: 51-90%,total,0,6–19 employees,B0700.04,2226
Percentage of total sales from internet sales: 51-90%,total,0,20–49 employees,B0700.04,498
Percentage of total sales from internet sales: 51-90%,total,0,50–99 employees,B0700.04,183
Percentage of total sales from internet sales: 51-90%,total,0,100+ employees,B0700.04,105
Percentage of total sales from internet sales: 51-90%,"Agriculture, forestry, & fishing",1,total,B0700.04,69
Percentage of total sales from internet sales: 51-90%,Agriculture,2,total,B0700.04,51
