description,industry,level,size,line_code,value
"When considering price changes, importance of change in stock levels: very important",total,0,total,C1506.03,5352
"When considering price changes, importance of change in competitors' price: not important",total,0,6–19 employees,C1507.01,8142
"When considering price changes, importance of change in competitors' price: not important",total,0,20–49 employees,C1507.01,1629
"When considering price changes, importance of change in competitors' price: not important",total,0,50–99 employees,C1507.01,378
"When considering price changes, importance of change in competitors' price: not important",total,0,100+ employees,C1507.01,270
"When considering price changes, importance of change in competitors' price: not important","Agriculture, forestry, & fishing",1,total,C1507.01,492
"When considering price changes, importance of change in competitors' price: not important",Agriculture,2,total,C1507.01,201
"When considering price changes, importance of change in competitors' price: not important",Commercial fishing,2,total,C1507.01,12
"When considering price changes, importance of change in competitors' price: not important",Forestry & logging,2,total,C1507.01,51
"When considering price changes, importance of change in competitors' price: not important","Agriculture, forestry, & fishing support services",2,total,C1507.01,228
"When considering price changes, importance of change in competitors' price: not important",Mining,1,total,C1507.01,33
"When considering price changes, importance of change in competitors' price: not important",Manufacturing,1,total,C1507.01,1614
"When considering price changes, importance of change in competitors' price: not important","Food, beverage, & tobacco",2,total,C1507.01,324
"When considering price changes, importance of change in competitors' price: not important","Textile, clothing, footwear, & leather",2,total,C1507.01,117
"When considering price changes, importance of change in competitors' price: not important",Wood & paper product,2,total,C1507.01,156
"When considering price changes, importance of change in competitors' price: not important","Printing, publishing, & recorded media",2,total,C1507.01,51
"When considering price changes, importance of change in competitors' price: not important","Petroleum, coal, chemical, & associated product",2,total,C1507.01,111
"When considering price changes, importance of change in competitors' price: not important",Non-metallic mineral product,2,total,C1507.01,57
"When considering price changes, importance of change in competitors' price: not important",Metal product,2,total,C1507.01,315
"When considering price changes, importance of change in competitors' price: not important",Transport and industrial machinery & equipment,2,total,C1507.01,258
"When considering price changes, importance of change in competitors' price: not important",Other machinery & equipment,2,total,C1507.01,78
"When considering price changes, importance of change in competitors' price: not important",Other manufacturing,2,total,C1507.01,144
"When considering price changes, importance of change in competitors' price: not important","Electricity, gas, water, & waste services",1,total,C1507.01,57
"When considering price changes, importance of change in competitors' price: not important",Construction,1,total,C1507.01,1704
"When considering price changes, importance of change in competitors' price: not important",Wholesale trade,1,total,C1507.01,501
"When considering price changes, importance of change in competitors' price: not important",Machinery & equipment wholesaling,2,total,C1507.01,147
"When considering price changes, importance of change in competitors' price: not important",Other wholesale trade,2,total,C1507.01,351
"When considering price changes, importance of change in competitors' price: not important",Retail trade,1,total,C1507.01,231
"When considering price changes, importance of change in competitors' price: not important",Accommodation & food services,1,total,C1507.01,1473
"When considering price changes, importance of change in competitors' price: not important","Transport, postal, & warehousing",1,total,C1507.01,360
"When considering price changes, importance of change in competitors' price: not important",Information media & telecommunications,1,total,C1507.01,108
"When considering price changes, importance of change in competitors' price: not important",Publishing,2,total,C1507.01,48
"When considering price changes, importance of change in competitors' price: not important",Motion picture,2,total,C1507.01,36
"When considering price changes, importance of change in competitors' price: not important",Telecommunications,2,total,C1507.01,21
"When considering price changes, importance of change in competitors' price: not important",Financial & insurance services,1,total,C1507.01,132
"When considering price changes, importance of change in competitors' price: not important",Finance,2,total,C1507.01,51
"When considering price changes, importance of change in competitors' price: not important",Insurance,2,total,C1507.01,9
"When considering price changes, importance of change in competitors' price: not important",Auxiliary,2,total,C1507.01,75
"When considering price changes, importance of change in competitors' price: not important","Rental, hiring, & real estate services",1,total,C1507.01,300
"When considering price changes, importance of change in competitors' price: not important","Professional, scientific, & technical services",1,total,C1507.01,1788
"When considering price changes, importance of change in competitors' price: not important",Computer systems design,2,total,C1507.01,222
"When considering price changes, importance of change in competitors' price: not important",Other professional scientific,2,total,C1507.01,1569
"When considering price changes, importance of change in competitors' price: not important",Administrative & support services,1,total,C1507.01,453
"When considering price changes, importance of change in competitors' price: not important",Education & training,1,total,C1507.01,183
"When considering price changes, importance of change in competitors' price: not important",Health care & social assistance,1,total,C1507.01,483
"When considering price changes, importance of change in competitors' price: not important",Arts & recreation services,1,total,C1507.01,114
"When considering price changes, importance of change in competitors' price: not important",Other services,1,total,C1507.01,390
"When considering price changes, importance of change in competitors' price: not important",total,0,total,C1507.01,10422
"When considering price changes, importance of change in competitors' price: moderately important",total,0,6–19 employees,C1507.02,14112
"When considering price changes, importance of change in competitors' price: moderately important",total,0,20–49 employees,C1507.02,3276
"When considering price changes, importance of change in competitors' price: moderately important",total,0,50–99 employees,C1507.02,963
"When considering price changes, importance of change in competitors' price: moderately important",total,0,100+ employees,C1507.02,702
"When considering price changes, importance of change in competitors' price: moderately important","Agriculture, forestry, & fishing",1,total,C1507.02,798
"When considering price changes, importance of change in competitors' price: moderately important",Agriculture,2,total,C1507.02,324
"When considering price changes, importance of change in competitors' price: moderately important",Commercial fishing,2,total,C1507.02,12
"When considering price changes, importance of change in competitors' price: moderately important",Forestry & logging,2,total,C1507.02,45
"When considering price changes, importance of change in competitors' price: moderately important","Agriculture, forestry, & fishing support services",2,total,C1507.02,417
"When considering price changes, importance of change in competitors' price: moderately important",Mining,1,total,C1507.02,36
"When considering price changes, importance of change in competitors' price: moderately important",Manufacturing,1,total,C1507.02,2502
"When considering price changes, importance of change in competitors' price: moderately important","Food, beverage, & tobacco",2,total,C1507.02,525
"When considering price changes, importance of change in competitors' price: moderately important","Textile, clothing, footwear, & leather",2,total,C1507.02,120
"When considering price changes, importance of change in competitors' price: moderately important",Wood & paper product,2,total,C1507.02,255
"When considering price changes, importance of change in competitors' price: moderately important","Printing, publishing, & recorded media",2,total,C1507.02,111
"When considering price changes, importance of change in competitors' price: moderately important","Petroleum, coal, chemical, & associated product",2,total,C1507.02,207
"When considering price changes, importance of change in competitors' price: moderately important",Non-metallic mineral product,2,total,C1507.02,90
"When considering price changes, importance of change in competitors' price: moderately important",Metal product,2,total,C1507.02,435
"When considering price changes, importance of change in competitors' price: moderately important",Transport and industrial machinery & equipment,2,total,C1507.02,495
"When considering price changes, importance of change in competitors' price: moderately important",Other machinery & equipment,2,total,C1507.02,90
"When considering price changes, importance of change in competitors' price: moderately important",Other manufacturing,2,total,C1507.02,174
"When considering price changes, importance of change in competitors' price: moderately important","Electricity, gas, water, & waste services",1,total,C1507.02,75
"When considering price changes, importance of change in competitors' price: moderately important",Construction,1,total,C1507.02,3372
"When considering price changes, importance of change in competitors' price: moderately important",Wholesale trade,1,total,C1507.02,1407
"When considering price changes, importance of change in competitors' price: moderately important",Machinery & equipment wholesaling,2,total,C1507.02,399
"When considering price changes, importance of change in competitors' price: moderately important",Other wholesale trade,2,total,C1507.02,1005
"When considering price changes, importance of change in competitors' price: moderately important",Retail trade,1,total,C1507.02,1818
"When considering price changes, importance of change in competitors' price: moderately important",Accommodation & food services,1,total,C1507.02,2706
"When considering price changes, importance of change in competitors' price: moderately important","Transport, postal, & warehousing",1,total,C1507.02,636
"When considering price changes, importance of change in competitors' price: moderately important",Information media & telecommunications,1,total,C1507.02,153
"When considering price changes, importance of change in competitors' price: moderately important",Publishing,2,total,C1507.02,63
"When considering price changes, importance of change in competitors' price: moderately important",Motion picture,2,total,C1507.02,45
"When considering price changes, importance of change in competitors' price: moderately important",Telecommunications,2,total,C1507.02,42
"When considering price changes, importance of change in competitors' price: moderately important",Financial & insurance services,1,total,C1507.02,183
"When considering price changes, importance of change in competitors' price: moderately important",Finance,2,total,C1507.02,72
"When considering price changes, importance of change in competitors' price: moderately important",Insurance,2,total,C1507.02,15
"When considering price changes, importance of change in competitors' price: moderately important",Auxiliary,2,total,C1507.02,96
"When considering price changes, importance of change in competitors' price: moderately important","Rental, hiring, & real estate services",1,total,C1507.02,408
"When considering price changes, importance of change in competitors' price: moderately important","Professional, scientific, & technical services",1,total,C1507.02,2091
"When considering price changes, importance of change in competitors' price: moderately important",Computer systems design,2,total,C1507.02,402
"When considering price changes, importance of change in competitors' price: moderately important",Other professional scientific,2,total,C1507.02,1692
"When considering price changes, importance of change in competitors' price: moderately important",Administrative & support services,1,total,C1507.02,711
"When considering price changes, importance of change in competitors' price: moderately important",Education & training,1,total,C1507.02,462
"When considering price changes, importance of change in competitors' price: moderately important",Health care & social assistance,1,total,C1507.02,909
"When considering price changes, importance of change in competitors' price: moderately important",Arts & recreation services,1,total,C1507.02,282
"When considering price changes, importance of change in competitors' price: moderately important",Other services,1,total,C1507.02,495
"When considering price changes, importance of change in competitors' price: moderately important",total,0,total,C1507.02,19053
"When considering price changes, importance of change in competitors' price: very important",total,0,6–19 employees,C1507.03,6369
"When considering price changes, importance of change in competitors' price: very important",total,0,20–49 employees,C1507.03,1608
"When considering price changes, importance of change in competitors' price: very important",total,0,50–99 employees,C1507.03,483
"When considering price changes, importance of change in competitors' price: very important",total,0,100+ employees,C1507.03,423
"When considering price changes, importance of change in competitors' price: very important","Agriculture, forestry, & fishing",1,total,C1507.03,498
"When considering price changes, importance of change in competitors' price: very important",Agriculture,2,total,C1507.03,294
"When considering price changes, importance of change in competitors' price: very important",Commercial fishing,2,total,C1507.03,3
"When considering price changes, importance of change in competitors' price: very important",Forestry & logging,2,total,C1507.03,42
"When considering price changes, importance of change in competitors' price: very important","Agriculture, forestry, & fishing support services",2,total,C1507.03,159
"When considering price changes, importance of change in competitors' price: very important",Mining,1,total,C1507.03,24
"When considering price changes, importance of change in competitors' price: very important",Manufacturing,1,total,C1507.03,963
"When considering price changes, importance of change in competitors' price: very important","Food, beverage, & tobacco",2,total,C1507.03,246
"When considering price changes, importance of change in competitors' price: very important","Textile, clothing, footwear, & leather",2,total,C1507.03,21
"When considering price changes, importance of change in competitors' price: very important",Wood & paper product,2,total,C1507.03,96
"When considering price changes, importance of change in competitors' price: very important","Printing, publishing, & recorded media",2,total,C1507.03,33
"When considering price changes, importance of change in competitors' price: very important","Petroleum, coal, chemical, & associated product",2,total,C1507.03,87
"When considering price changes, importance of change in competitors' price: very important",Non-metallic mineral product,2,total,C1507.03,48
"When considering price changes, importance of change in competitors' price: very important",Metal product,2,total,C1507.03,180
"When considering price changes, importance of change in competitors' price: very important",Transport and industrial machinery & equipment,2,total,C1507.03,156
"When considering price changes, importance of change in competitors' price: very important",Other machinery & equipment,2,total,C1507.03,42
"When considering price changes, importance of change in competitors' price: very important",Other manufacturing,2,total,C1507.03,51
"When considering price changes, importance of change in competitors' price: very important","Electricity, gas, water, & waste services",1,total,C1507.03,45
"When considering price changes, importance of change in competitors' price: very important",Construction,1,total,C1507.03,1404
"When considering price changes, importance of change in competitors' price: very important",Wholesale trade,1,total,C1507.03,789
"When considering price changes, importance of change in competitors' price: very important",Machinery & equipment wholesaling,2,total,C1507.03,213
"When considering price changes, importance of change in competitors' price: very important",Other wholesale trade,2,total,C1507.03,576
"When considering price changes, importance of change in competitors' price: very important",Retail trade,1,total,C1507.03,984
"When considering price changes, importance of change in competitors' price: very important",Accommodation & food services,1,total,C1507.03,1791
"When considering price changes, importance of change in competitors' price: very important","Transport, postal, & warehousing",1,total,C1507.03,279
"When considering price changes, importance of change in competitors' price: very important",Information media & telecommunications,1,total,C1507.03,99
"When considering price changes, importance of change in competitors' price: very important",Publishing,2,total,C1507.03,30
"When considering price changes, importance of change in competitors' price: very important",Motion picture,2,total,C1507.03,33
"When considering price changes, importance of change in competitors' price: very important",Telecommunications,2,total,C1507.03,33
"When considering price changes, importance of change in competitors' price: very important",Financial & insurance services,1,total,C1507.03,81
"When considering price changes, importance of change in competitors' price: very important",Finance,2,total,C1507.03,33
"When considering price changes, importance of change in competitors' price: very important",Insurance,2,total,C1507.03,6
"When considering price changes, importance of change in competitors' price: very important",Auxiliary,2,total,C1507.03,45
"When considering price changes, importance of change in competitors' price: very important","Rental, hiring, & real estate services",1,total,C1507.03,156
"When considering price changes, importance of change in competitors' price: very important","Professional, scientific, & technical services",1,total,C1507.03,618
"When considering price changes, importance of change in competitors' price: very important",Computer systems design,2,total,C1507.03,141
"When considering price changes, importance of change in competitors' price: very important",Other professional scientific,2,total,C1507.03,480
"When considering price changes, importance of change in competitors' price: very important",Administrative & support services,1,total,C1507.03,255
"When considering price changes, importance of change in competitors' price: very important",Education & training,1,total,C1507.03,246
"When considering price changes, importance of change in competitors' price: very important",Health care & social assistance,1,total,C1507.03,369
"When considering price changes, importance of change in competitors' price: very important",Arts & recreation services,1,total,C1507.03,75
"When considering price changes, importance of change in competitors' price: very important",Other services,1,total,C1507.03,198
"When considering price changes, importance of change in competitors' price: very important",total,0,total,C1507.03,8883
"When considering price changes, importance of change in number of competitors: not important",total,0,6–19 employees,C1508.01,11589
"When considering price changes, importance of change in number of competitors: not important",total,0,20–49 employees,C1508.01,2565
"When considering price changes, importance of change in number of competitors: not important",total,0,50–99 employees,C1508.01,666
"When considering price changes, importance of change in number of competitors: not important",total,0,100+ employees,C1508.01,522
"When considering price changes, importance of change in number of competitors: not important","Agriculture, forestry, & fishing",1,total,C1508.01,663
"When considering price changes, importance of change in number of competitors: not important",Agriculture,2,total,C1508.01,288
"When considering price changes, importance of change in number of competitors: not important",Commercial fishing,2,total,C1508.01,15
"When considering price changes, importance of change in number of competitors: not important",Forestry & logging,2,total,C1508.01,57
"When considering price changes, importance of change in number of competitors: not important","Agriculture, forestry, & fishing support services",2,total,C1508.01,306
"When considering price changes, importance of change in number of competitors: not important",Mining,1,total,C1508.01,45
"When considering price changes, importance of change in number of competitors: not important",Manufacturing,1,total,C1508.01,2439
"When considering price changes, importance of change in number of competitors: not important","Food, beverage, & tobacco",2,total,C1508.01,459
"When considering price changes, importance of change in number of competitors: not important","Textile, clothing, footwear, & leather",2,total,C1508.01,147
"When considering price changes, importance of change in number of competitors: not important",Wood & paper product,2,total,C1508.01,309
"When considering price changes, importance of change in number of competitors: not important","Printing, publishing, & recorded media",2,total,C1508.01,93
"When considering price changes, importance of change in number of competitors: not important","Petroleum, coal, chemical, & associated product",2,total,C1508.01,207
"When considering price changes, importance of change in number of competitors: not important",Non-metallic mineral product,2,total,C1508.01,75
"When considering price changes, importance of change in number of competitors: not important",Metal product,2,total,C1508.01,414
"When considering price changes, importance of change in number of competitors: not important",Transport and industrial machinery & equipment,2,total,C1508.01,423
"When considering price changes, importance of change in number of competitors: not important",Other machinery & equipment,2,total,C1508.01,102
"When considering price changes, importance of change in number of competitors: not important",Other manufacturing,2,total,C1508.01,213
"When considering price changes, importance of change in number of competitors: not important","Electricity, gas, water, & waste services",1,total,C1508.01,84
"When considering price changes, importance of change in number of competitors: not important",Construction,1,total,C1508.01,2424
"When considering price changes, importance of change in number of competitors: not important",Wholesale trade,1,total,C1508.01,1020
"When considering price changes, importance of change in number of competitors: not important",Machinery & equipment wholesaling,2,total,C1508.01,270
"When considering price changes, importance of change in number of competitors: not important",Other wholesale trade,2,total,C1508.01,747
"When considering price changes, importance of change in number of competitors: not important",Retail trade,1,total,C1508.01,636
"When considering price changes, importance of change in number of competitors: not important",Accommodation & food services,1,total,C1508.01,2001
"When considering price changes, importance of change in number of competitors: not important","Transport, postal, & warehousing",1,total,C1508.01,615
"When considering price changes, importance of change in number of competitors: not important",Information media & telecommunications,1,total,C1508.01,123
"When considering price changes, importance of change in number of competitors: not important",Publishing,2,total,C1508.01,51
"When considering price changes, importance of change in number of competitors: not important",Motion picture,2,total,C1508.01,42
"When considering price changes, importance of change in number of competitors: not important",Telecommunications,2,total,C1508.01,30
"When considering price changes, importance of change in number of competitors: not important",Financial & insurance services,1,total,C1508.01,198
"When considering price changes, importance of change in number of competitors: not important",Finance,2,total,C1508.01,81
"When considering price changes, importance of change in number of competitors: not important",Insurance,2,total,C1508.01,15
"When considering price changes, importance of change in number of competitors: not important",Auxiliary,2,total,C1508.01,105
"When considering price changes, importance of change in number of competitors: not important","Rental, hiring, & real estate services",1,total,C1508.01,360
"When considering price changes, importance of change in number of competitors: not important","Professional, scientific, & technical services",1,total,C1508.01,2457
"When considering price changes, importance of change in number of competitors: not important",Computer systems design,2,total,C1508.01,276
"When considering price changes, importance of change in number of competitors: not important",Other professional scientific,2,total,C1508.01,2181
"When considering price changes, importance of change in number of competitors: not important",Administrative & support services,1,total,C1508.01,636
"When considering price changes, importance of change in number of competitors: not important",Education & training,1,total,C1508.01,264
"When considering price changes, importance of change in number of competitors: not important",Health care & social assistance,1,total,C1508.01,732
"When considering price changes, importance of change in number of competitors: not important",Arts & recreation services,1,total,C1508.01,162
"When considering price changes, importance of change in number of competitors: not important",Other services,1,total,C1508.01,486
"When considering price changes, importance of change in number of competitors: not important",total,0,total,C1508.01,15342
"When considering price changes, importance of change in number of competitors: moderately important",total,0,6–19 employees,C1508.02,12930
"When considering price changes, importance of change in number of competitors: moderately important",total,0,20–49 employees,C1508.02,2841
"When considering price changes, importance of change in number of competitors: moderately important",total,0,50–99 employees,C1508.02,885
"When considering price changes, importance of change in number of competitors: moderately important",total,0,100+ employees,C1508.02,684
"When considering price changes, importance of change in number of competitors: moderately important","Agriculture, forestry, & fishing",1,total,C1508.02,729
"When considering price changes, importance of change in number of competitors: moderately important",Agriculture,2,total,C1508.02,321
"When considering price changes, importance of change in number of competitors: moderately important",Commercial fishing,2,total,C1508.02,12
"When considering price changes, importance of change in number of competitors: moderately important",Forestry & logging,2,total,C1508.02,57
"When considering price changes, importance of change in number of competitors: moderately important","Agriculture, forestry, & fishing support services",2,total,C1508.02,339
"When considering price changes, importance of change in number of competitors: moderately important",Mining,1,total,C1508.02,30
"When considering price changes, importance of change in number of competitors: moderately important",Manufacturing,1,total,C1508.02,2106
"When considering price changes, importance of change in number of competitors: moderately important","Food, beverage, & tobacco",2,total,C1508.02,489
"When considering price changes, importance of change in number of competitors: moderately important","Textile, clothing, footwear, & leather",2,total,C1508.02,102
"When considering price changes, importance of change in number of competitors: moderately important",Wood & paper product,2,total,C1508.02,150
"When considering price changes, importance of change in number of competitors: moderately important","Printing, publishing, & recorded media",2,total,C1508.02,72
"When considering price changes, importance of change in number of competitors: moderately important","Petroleum, coal, chemical, & associated product",2,total,C1508.02,162
"When considering price changes, importance of change in number of competitors: moderately important",Non-metallic mineral product,2,total,C1508.02,96
"When considering price changes, importance of change in number of competitors: moderately important",Metal product,2,total,C1508.02,414
"When considering price changes, importance of change in number of competitors: moderately important",Transport and industrial machinery & equipment,2,total,C1508.02,399
"When considering price changes, importance of change in number of competitors: moderately important",Other machinery & equipment,2,total,C1508.02,87
"When considering price changes, importance of change in number of competitors: moderately important",Other manufacturing,2,total,C1508.02,132
"When considering price changes, importance of change in number of competitors: moderately important","Electricity, gas, water, & waste services",1,total,C1508.02,66
"When considering price changes, importance of change in number of competitors: moderately important",Construction,1,total,C1508.02,3348
"When considering price changes, importance of change in number of competitors: moderately important",Wholesale trade,1,total,C1508.02,1290
"When considering price changes, importance of change in number of competitors: moderately important",Machinery & equipment wholesaling,2,total,C1508.02,378
"When considering price changes, importance of change in number of competitors: moderately important",Other wholesale trade,2,total,C1508.02,909
"When considering price changes, importance of change in number of competitors: moderately important",Retail trade,1,total,C1508.02,1875
"When considering price changes, importance of change in number of competitors: moderately important",Accommodation & food services,1,total,C1508.02,2643
"When considering price changes, importance of change in number of competitors: moderately important","Transport, postal, & warehousing",1,total,C1508.02,480
"When considering price changes, importance of change in number of competitors: moderately important",Information media & telecommunications,1,total,C1508.02,171
"When considering price changes, importance of change in number of competitors: moderately important",Publishing,2,total,C1508.02,63
"When considering price changes, importance of change in number of competitors: moderately important",Motion picture,2,total,C1508.02,57
"When considering price changes, importance of change in number of competitors: moderately important",Telecommunications,2,total,C1508.02,48
"When considering price changes, importance of change in number of competitors: moderately important",Financial & insurance services,1,total,C1508.02,159
"When considering price changes, importance of change in number of competitors: moderately important",Finance,2,total,C1508.02,66
"When considering price changes, importance of change in number of competitors: moderately important",Insurance,2,total,C1508.02,12
"When considering price changes, importance of change in number of competitors: moderately important",Auxiliary,2,total,C1508.02,87
"When considering price changes, importance of change in number of competitors: moderately important","Rental, hiring, & real estate services",1,total,C1508.02,396
"When considering price changes, importance of change in number of competitors: moderately important","Professional, scientific, & technical services",1,total,C1508.02,1605
"When considering price changes, importance of change in number of competitors: moderately important",Computer systems design,2,total,C1508.02,414
"When considering price changes, importance of change in number of competitors: moderately important",Other professional scientific,2,total,C1508.02,1194
"When considering price changes, importance of change in number of competitors: moderately important",Administrative & support services,1,total,C1508.02,597
"When considering price changes, importance of change in number of competitors: moderately important",Education & training,1,total,C1508.02,438
"When considering price changes, importance of change in number of competitors: moderately important",Health care & social assistance,1,total,C1508.02,741
"When considering price changes, importance of change in number of competitors: moderately important",Arts & recreation services,1,total,C1508.02,225
"When considering price changes, importance of change in number of competitors: moderately important",Other services,1,total,C1508.02,435
"When considering price changes, importance of change in number of competitors: moderately important",total,0,total,C1508.02,17340
"When considering price changes, importance of change in number of competitors: very important",total,0,6–19 employees,C1508.03,4104
"When considering price changes, importance of change in number of competitors: very important",total,0,20–49 employees,C1508.03,1104
"When considering price changes, importance of change in number of competitors: very important",total,0,50–99 employees,C1508.03,273
"When considering price changes, importance of change in number of competitors: very important",total,0,100+ employees,C1508.03,189
"When considering price changes, importance of change in number of competitors: very important","Agriculture, forestry, & fishing",1,total,C1508.03,396
"When considering price changes, importance of change in number of competitors: very important",Agriculture,2,total,C1508.03,210
"When considering price changes, importance of change in number of competitors: very important",Commercial fishing,2,total,C1508.03,3
"When considering price changes, importance of change in number of competitors: very important",Forestry & logging,2,total,C1508.03,24
"When considering price changes, importance of change in number of competitors: very important","Agriculture, forestry, & fishing support services",2,total,C1508.03,159
"When considering price changes, importance of change in number of competitors: very important",Mining,1,total,C1508.03,15
"When considering price changes, importance of change in number of competitors: very important",Manufacturing,1,total,C1508.03,534
"When considering price changes, importance of change in number of competitors: very important","Food, beverage, & tobacco",2,total,C1508.03,147
"When considering price changes, importance of change in number of competitors: very important","Textile, clothing, footwear, & leather",2,total,C1508.03,9
"When considering price changes, importance of change in number of competitors: very important",Wood & paper product,2,total,C1508.03,51
"When considering price changes, importance of change in number of competitors: very important","Printing, publishing, & recorded media",2,total,C1508.03,27
"When considering price changes, importance of change in number of competitors: very important","Petroleum, coal, chemical, & associated product",2,total,C1508.03,39
"When considering price changes, importance of change in number of competitors: very important",Non-metallic mineral product,2,total,C1508.03,27
"When considering price changes, importance of change in number of competitors: very important",Metal product,2,total,C1508.03,102
"When considering price changes, importance of change in number of competitors: very important",Transport and industrial machinery & equipment,2,total,C1508.03,84
"When considering price changes, importance of change in number of competitors: very important",Other machinery & equipment,2,total,C1508.03,21
"When considering price changes, importance of change in number of competitors: very important",Other manufacturing,2,total,C1508.03,27
"When considering price changes, importance of change in number of competitors: very important","Electricity, gas, water, & waste services",1,total,C1508.03,24
"When considering price changes, importance of change in number of competitors: very important",Construction,1,total,C1508.03,708
"When considering price changes, importance of change in number of competitors: very important",Wholesale trade,1,total,C1508.03,387
"When considering price changes, importance of change in number of competitors: very important",Machinery & equipment wholesaling,2,total,C1508.03,108
"When considering price changes, importance of change in number of competitors: very important",Other wholesale trade,2,total,C1508.03,276
"When considering price changes, importance of change in number of competitors: very important",Retail trade,1,total,C1508.03,522
"When considering price changes, importance of change in number of competitors: very important",Accommodation & food services,1,total,C1508.03,1323
"When considering price changes, importance of change in number of competitors: very important","Transport, postal, & warehousing",1,total,C1508.03,177
"When considering price changes, importance of change in number of competitors: very important",Information media & telecommunications,1,total,C1508.03,66
"When considering price changes, importance of change in number of competitors: very important",Publishing,2,total,C1508.03,27
"When considering price changes, importance of change in number of competitors: very important",Motion picture,2,total,C1508.03,15
"When considering price changes, importance of change in number of competitors: very important",Telecommunications,2,total,C1508.03,21
"When considering price changes, importance of change in number of competitors: very important",Financial & insurance services,1,total,C1508.03,36
"When considering price changes, importance of change in number of competitors: very important",Finance,2,total,C1508.03,9
"When considering price changes, importance of change in number of competitors: very important",Insurance,2,total,C1508.03,3
"When considering price changes, importance of change in number of competitors: very important",Auxiliary,2,total,C1508.03,27
"When considering price changes, importance of change in number of competitors: very important","Rental, hiring, & real estate services",1,total,C1508.03,108
"When considering price changes, importance of change in number of competitors: very important","Professional, scientific, & technical services",1,total,C1508.03,441
"When considering price changes, importance of change in number of competitors: very important",Computer systems design,2,total,C1508.03,78
"When considering price changes, importance of change in number of competitors: very important",Other professional scientific,2,total,C1508.03,366
"When considering price changes, importance of change in number of competitors: very important",Administrative & support services,1,total,C1508.03,189
"When considering price changes, importance of change in number of competitors: very important",Education & training,1,total,C1508.03,195
"When considering price changes, importance of change in number of competitors: very important",Health care & social assistance,1,total,C1508.03,288
"When considering price changes, importance of change in number of competitors: very important",Arts & recreation services,1,total,C1508.03,87
"When considering price changes, importance of change in number of competitors: very important",Other services,1,total,C1508.03,165
"When considering price changes, importance of change in number of competitors: very important",total,0,total,C1508.03,5673
"When considering price changes, importance of change in exchange rates: not important",total,0,6–19 employees,C1509.01,19035
"When considering price changes, importance of change in exchange rates: not important",total,0,20–49 employees,C1509.01,3933
"When considering price changes, importance of change in exchange rates: not important",total,0,50–99 employees,C1509.01,987
"When considering price changes, importance of change in exchange rates: not important",total,0,100+ employees,C1509.01,753
"When considering price changes, importance of change in exchange rates: not important","Agriculture, forestry, & fishing",1,total,C1509.01,1278
"When considering price changes, importance of change in exchange rates: not important",Agriculture,2,total,C1509.01,552
"When considering price changes, importance of change in exchange rates: not important",Commercial fishing,2,total,C1509.01,21
"When considering price changes, importance of change in exchange rates: not important",Forestry & logging,2,total,C1509.01,78
"When considering price changes, importance of change in exchange rates: not important","Agriculture, forestry, & fishing support services",2,total,C1509.01,627
"When considering price changes, importance of change in exchange rates: not important",Mining,1,total,C1509.01,57
"When considering price changes, importance of change in exchange rates: not important",Manufacturing,1,total,C1509.01,2466
"When considering price changes, importance of change in exchange rates: not important","Food, beverage, & tobacco",2,total,C1509.01,597
"When considering price changes, importance of change in exchange rates: not important","Textile, clothing, footwear, & leather",2,total,C1509.01,90
"When considering price changes, importance of change in exchange rates: not important",Wood & paper product,2,total,C1509.01,348
"When considering price changes, importance of change in exchange rates: not important","Printing, publishing, & recorded media",2,total,C1509.01,90
"When considering price changes, importance of change in exchange rates: not important","Petroleum, coal, chemical, & associated product",2,total,C1509.01,111
"When considering price changes, importance of change in exchange rates: not important",Non-metallic mineral product,2,total,C1509.01,117
"When considering price changes, importance of change in exchange rates: not important",Metal product,2,total,C1509.01,456
"When considering price changes, importance of change in exchange rates: not important",Transport and industrial machinery & equipment,2,total,C1509.01,423
"When considering price changes, importance of change in exchange rates: not important",Other machinery & equipment,2,total,C1509.01,51
"When considering price changes, importance of change in exchange rates: not important",Other manufacturing,2,total,C1509.01,186
"When considering price changes, importance of change in exchange rates: not important","Electricity, gas, water, & waste services",1,total,C1509.01,141
"When considering price changes, importance of change in exchange rates: not important",Construction,1,total,C1509.01,4476
"When considering price changes, importance of change in exchange rates: not important",Wholesale trade,1,total,C1509.01,627
"When considering price changes, importance of change in exchange rates: not important",Machinery & equipment wholesaling,2,total,C1509.01,150
"When considering price changes, importance of change in exchange rates: not important",Other wholesale trade,2,total,C1509.01,477
"When considering price changes, importance of change in exchange rates: not important",Retail trade,1,total,C1509.01,1260
"When considering price changes, importance of change in exchange rates: not important",Accommodation & food services,1,total,C1509.01,4341
"When considering price changes, importance of change in exchange rates: not important","Transport, postal, & warehousing",1,total,C1509.01,840
"When considering price changes, importance of change in exchange rates: not important",Information media & telecommunications,1,total,C1509.01,246
"When considering price changes, importance of change in exchange rates: not important",Publishing,2,total,C1509.01,105
"When considering price changes, importance of change in exchange rates: not important",Motion picture,2,total,C1509.01,90
"When considering price changes, importance of change in exchange rates: not important",Telecommunications,2,total,C1509.01,48
"When considering price changes, importance of change in exchange rates: not important",Financial & insurance services,1,total,C1509.01,294
